suite,run_name,model_id,model,source_kind,total_questions,evaluated_questions,missing_questions,correct,overall_accuracy,evaluated_accuracy,Motion_Perception,Spatial_Relations,Outcome_Prediction,Physical_Dynamics,Vehicle_Movement,Relative_Velocity,Rotation_Direction,Ego_Motion,Passage_Feasibility,Interaction_Direction,Basketball_Shot,Soccer_Shot,Golf_Shot,Billiards_Shot,Swimming_Race,Fall_Direction,Jenga_Stability,Mikado_Dependency,Knot_Type,result_dir,warnings
main,main_intern-s1_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,intern-s1,Intern-S1,api_success_error_unparsed,1340,1340,0,693,51.7,51.7,52.5,62.4,47.7,48.5,48.2,57.1,53.1,60.3,58.2,71.4,48.4,47.5,35.8,56.0,48.6,45.7,47.9,45.8,58.6,results/results_api_0608/main_intern-s1_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_intern-s1-pro_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,intern-s1-pro,Intern-S1-Pro,api_success_error_unparsed,1340,1340,0,666,49.7,49.7,48.1,64.0,45.3,47.2,53.6,40.5,48.3,63.4,56.4,73.2,41.9,47.5,58.5,45.3,41.7,37.0,48.7,42.2,55.2,results/results_api_0608/main_intern-s1-pro_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_internvl3.5-241b-a28b_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,internvl3.5-241b-a28b,InternVL3.5-241B-A28B,api_success_error_unparsed,1340,1340,0,715,53.4,53.4,51.0,69.4,47.2,54.1,65.2,46.4,42.8,66.4,69.1,76.8,45.2,46.8,49.1,53.3,47.2,41.3,55.6,49.4,62.1,results/results_api_0608/main_internvl3.5-241b-a28b_api-internvl_media-image_frames-per_video-16_order-chronological_thinking-off_prompt-direct_run1,{}
main,main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-on_prompt-direct_run2,mimo-v2.5,MiMo-V2.5-thinking,api_success_error_unparsed,1340,1340,0,718,53.6,53.6,48.4,64.5,50.4,57.2,51.8,38.1,51.7,58.0,63.6,80.4,50.8,53.8,35.8,50.7,51.4,52.2,60.7,53.0,55.2,results/results_api_0608/main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-on_prompt-direct_run2,{}
main,main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-off_prompt-direct_run2,mimo-v2.5,MiMo-V2.5,api_success_error_unparsed,1340,1340,0,702,52.4,52.4,50.7,63.6,49.6,49.3,59.8,40.5,49.7,64.9,50.9,73.2,42.7,55.7,37.7,56.0,52.8,45.7,51.3,42.2,62.1,results/results_api_0608/main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-off_prompt-direct_run2,{}
main,main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,ppio_pa_claude-opus-4-6,Claude-Opus-4.6,api_success_error_unparsed,1340,1340,0,743,55.4,55.4,52.5,64.0,51.9,59.0,65.2,45.2,46.9,64.1,70.9,57.1,49.2,63.3,50.9,40.0,50.0,43.5,65.8,44.6,72.4,results/results_api_0608/main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,{}
main,main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,ppio_pa_claude-opus-4-6,Claude-Opus-4.6-thinking,api_success_error_unparsed,1340,1340,0,733,54.7,54.7,51.3,68.6,49.2,57.6,65.2,40.5,46.9,71.8,67.3,62.5,44.4,56.3,52.8,46.7,50.0,37.0,65.0,48.2,55.2,results/results_api_0608/main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,{}
main,main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,ppio_pa_claude-sonnet-4-6,Claude-Sonnet-4.6-thinking,api_success_error_unparsed,1340,1340,0,716,53.4,53.4,51.9,59.9,53.4,48.9,67.0,40.5,46.9,66.4,52.7,51.8,51.6,62.0,58.5,52.0,51.4,28.3,48.7,44.6,62.1,results/results_api_0608/main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,{}
main,main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,ppio_pa_claude-sonnet-4-6,Claude-Sonnet-4.6,api_success_error_unparsed,1340,1340,0,683,51.0,51.0,52.2,59.9,51.1,39.3,67.9,40.5,46.9,64.9,52.7,55.4,54.8,55.1,50.9,48.0,50.0,34.8,34.2,38.6,62.1,results/results_api_0608/main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,{}
main,main_qwen3.5-27b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-27b,Qwen3.5-27B-thinking,api_success_error_unparsed,1340,1340,0,737,55.0,55.0,54.0,66.5,53.8,47.2,60.7,50.0,51.0,62.6,65.5,76.8,59.7,55.1,49.1,49.3,58.3,39.1,47.9,44.6,51.7,results/results_api_0608/main_qwen3.5-27b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,main_qwen3.5-35b-a3b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-35b-a3b,Qwen3.5-35B-A3B-thinking,api_success_error_unparsed,1340,1340,0,656,49.0,49.0,46.3,61.6,46.4,45.4,46.4,45.2,46.9,58.0,63.6,67.9,48.4,50.6,35.8,52.0,40.3,39.1,41.0,48.2,55.2,results/results_api_0608/main_qwen3.5-35b-a3b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,main_qwen3.5-122b-a10b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-122b-a10b,Qwen3.5-122B-A10B-thinking,api_success_error_unparsed,1340,1340,0,716,53.4,53.4,51.3,67.8,47.5,55.0,53.6,50.0,50.3,61.8,67.3,82.1,48.4,50.0,39.6,56.0,43.1,39.1,55.6,48.2,72.4,results/results_api_0608/main_qwen3.5-122b-a10b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,main_qwen3.5-397b-a17b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-397b-a17b,Qwen3.5-397B-A17B-thinking,api_success_error_unparsed,1340,1340,0,729,54.4,54.4,54.8,68.6,49.8,49.3,57.1,57.1,51.7,65.6,63.6,80.4,59.7,51.3,43.4,48.0,45.8,34.8,52.1,38.6,69.0,results/results_api_0608/main_qwen3.5-397b-a17b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,GeoThinker-VGGT-Scaled-Qwen25VL-7B,GeoThinker-VGGT-Scaled-Qwen25VL-7B,GeoThinker-Qwen2.5VL-7B,json,1340,1340,0,708,52.8,52.8,51.0,56.6,48.5,61.6,64.3,41.7,46.2,42.7,65.5,80.4,41.1,47.5,56.6,46.7,50.0,63.0,65.0,54.2,69.0,results/results_local_0608/GeoThinker-VGGT-Scaled-Qwen25VL-7B,{}
main,GeoThinker-VGGT-Scaled-Qwen3VL-8B,GeoThinker-VGGT-Scaled-Qwen3VL-8B,GeoThinker-Qwen3VL-8B,json,1340,1340,0,677,50.5,50.5,55.4,52.1,49.1,45.0,64.3,59.5,46.2,39.7,65.5,67.9,42.7,47.5,54.7,46.7,50.0,67.4,35.0,49.4,72.4,results/results_local_0608/GeoThinker-VGGT-Scaled-Qwen3VL-8B,{}
main,InternVL3_5-8B,InternVL3_5-8B,InternVL3.5-8B,jsonl,1340,1340,0,682,50.9,50.9,55.4,64.5,46.0,41.0,59.8,57.1,51.0,62.6,67.3,66.1,44.4,47.5,43.4,53.3,47.2,34.8,35.0,45.8,51.7,results/results_local_0608/InternVL3_5-8B,{}
main,InternVL3_5-14B,InternVL3_5-14B,InternVL3.5-14B,jsonl,1340,1340,0,687,51.3,51.3,52.2,59.5,48.9,46.7,48.2,58.3,51.7,54.2,65.5,66.1,41.9,46.8,45.3,52.0,58.3,58.7,40.2,57.8,41.4,results/results_local_0608/InternVL3_5-14B,{}
main,InternVL3_5-30B-A3B,InternVL3_5-30B-A3B,InternVL3.5-30B-A3B,jsonl,1340,1340,0,672,50.1,50.1,51.3,62.8,45.6,45.4,50.9,56.0,49.0,54.2,67.3,78.6,43.5,48.7,32.1,37.3,51.4,60.9,39.3,56.6,37.9,results/results_local_0608/InternVL3_5-30B-A3B,{}
main,InternVL3_5-38B,InternVL3_5-38B,InternVL3.5-38B,jsonl,1340,1340,0,701,52.3,52.3,42.8,64.5,49.6,59.8,43.8,38.1,44.8,59.5,65.5,75.0,44.4,52.5,43.4,57.3,50.0,47.8,65.0,50.6,65.5,results/results_local_0608/InternVL3_5-38B,{}
main,LLaVA-OneVision-1.5-4B-Instruct,LLaVA-OneVision-1.5-4B-Instruct,LLaVA-OneVision-1.5-4B,jsonl,1340,1340,0,638,47.6,47.6,46.0,58.7,47.0,39.7,58.0,33.3,44.1,48.1,65.5,76.8,43.5,47.5,49.1,46.7,50.0,47.8,35.0,45.8,41.4,results/results_local_0608/LLaVA-OneVision-1.5-4B-Instruct,{}
main,LLaVA-OneVision-1.5-8B-Instruct,LLaVA-OneVision-1.5-8B-Instruct,LLaVA-OneVision-1.5-8B,jsonl,1340,1340,0,666,49.7,49.7,54.5,57.9,47.2,39.7,63.4,45.2,53.1,49.6,67.3,67.9,39.5,52.5,37.7,56.0,50.0,41.3,35.0,45.8,41.4,results/results_local_0608/LLaVA-OneVision-1.5-8B-Instruct,{}
main,spacer-sft,spacer-sft,Spacer-SFT-7B,jsonl,1340,1340,0,692,51.6,51.6,49.6,65.7,49.8,44.1,47.3,58.3,46.2,61.1,65.5,76.8,42.7,55.7,54.7,52.0,47.2,43.5,35.0,54.2,51.7,results/results_local_0608/spacer-sft,{}
main,Spatial-MLLM-v1.1-Instruct-135K-16f,Spatial-MLLM-v1.1-Instruct-135K-16f,Spatial-MLLM-135K-4B,json,1340,1340,0,634,47.3,47.3,46.0,56.2,45.8,43.2,42.0,50.0,46.9,57.3,34.5,75.0,41.9,43.7,50.9,46.7,51.4,47.8,35.0,47.0,65.5,results/results_local_0608/Spatial-MLLM-v1.1-Instruct-135K-16f,{}
main,Spatial-MLLM-v1.1-Instruct-820K-16f,Spatial-MLLM-v1.1-Instruct-820K-16f,Spatial-MLLM-820K-4B,json,1340,1340,0,688,51.3,51.3,55.7,56.6,48.5,45.9,64.3,59.5,46.9,47.3,58.2,76.8,42.7,47.5,54.7,46.7,51.4,58.7,35.0,53.0,69.0,results/results_local_0608/Spatial-MLLM-v1.1-Instruct-820K-16f,{}
main,spatial-ssrl,spatial-ssrl,Spatial-SSRL-7B,jsonl,1340,1340,0,674,50.3,50.3,44.9,64.9,49.1,45.9,46.4,52.4,39.3,58.8,65.5,78.6,43.5,54.4,43.4,49.3,48.6,52.2,35.0,54.2,65.5,results/results_local_0608/spatial-ssrl,{}
main,spatialladder,spatialladder,SpatialLadder-3B,jsonl,1340,1340,0,641,47.8,47.8,49.9,47.9,48.7,42.8,42.9,63.1,47.6,42.0,61.8,48.2,45.2,51.9,47.2,49.3,51.4,43.5,35.0,54.2,41.4,results/results_local_0608/spatialladder,{}
main,vgllm-qa-vggt-4b,vgllm-qa-vggt-4b,VG-LLM-4B,jsonl,1340,1340,0,646,48.2,48.2,49.9,57.0,47.5,38.0,50.0,48.8,50.3,42.0,65.5,83.9,42.7,47.5,60.4,52.0,45.8,41.3,35.0,54.2,3.4,results/results_local_0608/vgllm-qa-vggt-4b,"{""duplicate_records_ignored"": 4}"
main,vgllm-qa-vggt-8b,vgllm-qa-vggt-8b,VG-LLM-8B,jsonl,1340,1340,0,638,47.6,47.6,46.3,52.5,48.3,42.8,36.6,47.6,53.1,35.1,63.6,82.1,46.0,48.1,52.8,54.7,50.0,37.0,35.0,45.8,65.5,results/results_local_0608/vgllm-qa-vggt-8b,"{""duplicate_records_ignored"": 4}"
main,vst-7b-rl,vst-7b-rl,VST-7B-RL,jsonl,1340,1340,0,662,49.4,49.4,51.9,50.0,48.5,47.2,64.3,51.2,42.8,44.3,65.5,48.2,42.7,49.4,58.5,42.7,50.0,56.5,40.2,56.6,48.3,results/results_local_0608/vst-7b-rl,{}
