suite,run_name,model_id,model,source_kind,total_questions,evaluated_questions,missing_questions,correct,overall_accuracy,evaluated_accuracy,Motion_Perception,Spatial_Relations,Outcome_Prediction,Physical_Dynamics,Vehicle_Movement,Relative_Velocity,Rotation_Direction,Ego_Motion,Passage_Feasibility,Interaction_Direction,Basketball_Shot,Soccer_Shot,Golf_Shot,Billiards_Shot,Swimming_Race,Fall_Direction,Jenga_Stability,Mikado_Dependency,Knot_Type,result_dir,warnings
main,main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-off_prompt-direct_run2,mimo-v2.5,MiMo-V2.5,api_success_error_unparsed,670,670,0,349,52.1,52.1,52.0,63.6,50.4,43.9,58.9,45.2,50.7,68.2,48.1,67.9,38.7,53.2,38.5,63.2,58.3,52.2,46.6,38.1,50.0,results/results_api_0608/main_mimo-v2.5_api-mify_mimo_provider-xiaomi_media-video_frames-per_video-16_thinking-off_prompt-direct_run2,{}
main,main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,ppio_pa_claude-opus-4-6,Claude-Opus-4.6-thinking,api_success_error_unparsed,670,670,0,377,56.3,56.3,52.6,71.9,50.4,58.8,69.6,40.5,46.6,77.3,70.4,60.7,43.5,58.2,57.7,47.4,50.0,39.1,67.2,52.4,42.9,results/results_api_0608/main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,{}
main,main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,ppio_pa_claude-opus-4-6,Claude-Opus-4.6,api_success_error_unparsed,670,670,0,372,55.5,55.5,52.6,63.6,52.3,58.8,67.9,42.9,46.6,66.7,70.4,50.0,48.4,64.6,53.8,39.5,50.0,43.5,69.0,42.9,64.3,results/results_api_0608/main_ppio_pa_claude-opus-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,{}
main,main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,ppio_pa_claude-sonnet-4-6,Claude-Sonnet-4.6-thinking,api_success_error_unparsed,670,670,0,359,53.6,53.6,52.0,62.8,54.2,44.7,67.9,40.5,46.6,72.7,44.4,57.1,50.0,62.0,61.5,55.3,52.8,30.4,46.6,40.5,50.0,results/results_api_0608/main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-on_tokens-16000_prompt-direct_run1,{}
main,main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,ppio_pa_claude-sonnet-4-6,Claude-Sonnet-4.6,api_success_error_unparsed,670,670,0,346,51.6,51.6,53.2,61.2,51.9,38.6,71.4,40.5,46.6,71.2,40.7,57.1,58.1,54.4,53.8,44.7,50.0,39.1,36.2,35.7,57.1,results/results_api_0608/main_ppio_pa_claude-sonnet-4-6_api-mify_claude_provider-anthropic_media-image_frames-per_video-16_order-chronological_thinking-off_tokens-16000_prompt-direct_run1,{}
main,main_qwen3.5-27b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-27b,Qwen3.5-27B-thinking,api_success_error_unparsed,670,670,0,360,53.7,53.7,52.0,65.3,52.3,47.4,60.7,42.9,50.7,62.1,66.7,71.4,62.9,51.9,53.8,39.5,61.1,30.4,50.0,45.2,42.9,results/results_api_0608/main_qwen3.5-27b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,main_qwen3.5-35b-a3b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-35b-a3b,Qwen3.5-35B-A3B-thinking,api_success_error_unparsed,670,670,0,330,49.3,49.3,45.6,63.6,46.6,45.6,53.6,45.2,39.7,60.6,70.4,64.3,51.6,41.8,38.5,50.0,55.6,39.1,41.4,50.0,50.0,results/results_api_0608/main_qwen3.5-35b-a3b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,main_qwen3.5-122b-a10b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-122b-a10b,Qwen3.5-122B-A10B-thinking,api_success_error_unparsed,670,670,0,357,53.3,53.3,52.6,67.8,46.6,54.4,55.4,50.0,52.1,63.6,70.4,75.0,45.2,48.1,42.3,57.9,41.7,39.1,53.4,52.4,64.3,results/results_api_0608/main_qwen3.5-122b-a10b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,main_qwen3.5-397b-a17b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,qwen3.5-397b-a17b,Qwen3.5-397B-A17B-thinking,api_success_error_unparsed,670,670,0,369,55.1,55.1,59.6,68.6,48.1,50.0,66.1,57.1,56.2,65.2,66.7,78.6,56.5,50.6,50.0,42.1,47.2,26.1,51.7,45.2,57.1,results/results_api_0608/main_qwen3.5-397b-a17b_api-mify_qwen_provider-tongyi_media-video_thinking-on_prompt-direct_run1,{}
main,GeoThinker-VGGT-Scaled-Qwen25VL-7B,GeoThinker-VGGT-Scaled-Qwen25VL-7B,GeoThinker-Qwen2.5VL-7B,json,670,670,0,350,52.2,52.2,50.3,54.5,48.1,62.3,64.3,40.5,45.2,39.4,66.7,78.6,40.3,46.8,53.8,47.4,50.0,65.2,65.5,54.8,71.4,results/results_local_0608/GeoThinker-VGGT-Scaled-Qwen25VL-7B,{}
main,GeoThinker-VGGT-Scaled-Qwen3VL-8B,GeoThinker-VGGT-Scaled-Qwen3VL-8B,GeoThinker-Qwen3VL-8B,json,670,670,0,336,50.1,50.1,56.1,51.2,48.5,43.9,64.3,66.7,43.8,36.4,66.7,71.4,41.9,46.8,53.8,47.4,50.0,65.2,34.5,50.0,64.3,results/results_local_0608/GeoThinker-VGGT-Scaled-Qwen3VL-8B,{}
main,InternVL3_5-8B,InternVL3_5-8B,InternVL3.5-8B,jsonl,670,670,0,347,51.8,51.8,56.7,66.1,46.6,41.2,62.5,57.1,52.1,69.7,59.3,64.3,45.2,46.8,38.5,50.0,50.0,47.8,34.5,45.2,57.1,results/results_local_0608/InternVL3_5-8B,{}
main,InternVL3_5-14B,InternVL3_5-14B,InternVL3.5-14B,jsonl,670,670,0,351,52.4,52.4,56.1,61.2,47.0,50.0,50.0,64.3,56.2,57.6,66.7,64.3,41.9,46.8,38.5,44.7,58.3,56.5,41.4,64.3,42.9,results/results_local_0608/InternVL3_5-14B,{}
main,InternVL3_5-30B-A3B,InternVL3_5-30B-A3B,InternVL3.5-30B-A3B,jsonl,670,670,0,339,50.6,50.6,55.0,64.5,43.9,44.7,55.4,61.9,50.7,57.6,70.4,75.0,41.9,49.4,23.1,26.3,55.6,65.2,41.4,52.4,35.7,results/results_local_0608/InternVL3_5-30B-A3B,{}
main,InternVL3_5-38B,InternVL3_5-38B,InternVL3.5-38B,jsonl,670,670,0,352,52.5,52.5,42.7,68.6,48.9,58.8,46.4,38.1,42.5,69.7,66.7,67.9,50.0,50.6,42.3,50.0,50.0,43.5,65.5,50.0,57.1,results/results_local_0608/InternVL3_5-38B,{}
main,LLaVA-OneVision-1.5-4B-Instruct,LLaVA-OneVision-1.5-4B-Instruct,LLaVA-OneVision-1.5-4B,jsonl,670,670,0,311,46.4,46.4,43.9,56.2,46.6,39.5,53.6,38.1,39.7,47.0,66.7,67.9,41.9,46.8,42.3,44.7,50.0,60.9,34.5,45.2,42.9,results/results_local_0608/LLaVA-OneVision-1.5-4B-Instruct,{}
main,LLaVA-OneVision-1.5-8B-Instruct,LLaVA-OneVision-1.5-8B-Instruct,LLaVA-OneVision-1.5-8B,jsonl,670,670,0,332,49.6,49.6,55.6,57.9,46.2,39.5,62.5,50.0,53.4,50.0,70.4,64.3,37.1,51.9,38.5,50.0,50.0,47.8,34.5,45.2,42.9,results/results_local_0608/LLaVA-OneVision-1.5-8B-Instruct,{}
main,spacer-sft,spacer-sft,Spacer-SFT-7B,jsonl,670,670,0,349,52.1,52.1,53.2,66.9,48.9,42.1,55.4,57.1,49.3,60.6,66.7,82.1,40.3,57.0,50.0,47.4,47.2,47.8,34.5,50.0,50.0,results/results_local_0608/spacer-sft,{}
main,Spatial-MLLM-v1.1-Instruct-135K-16f,Spatial-MLLM-v1.1-Instruct-135K-16f,Spatial-MLLM-135K-4B,json,670,670,0,306,45.7,45.7,45.0,52.9,45.1,40.4,41.1,47.6,46.6,56.1,33.3,64.3,40.3,41.8,50.0,47.4,55.6,43.5,34.5,45.2,50.0,results/results_local_0608/Spatial-MLLM-v1.1-Instruct-135K-16f,{}
main,Spatial-MLLM-v1.1-Instruct-820K-16f,Spatial-MLLM-v1.1-Instruct-820K-16f,Spatial-MLLM-820K-4B,json,670,670,0,339,50.6,50.6,54.4,55.4,48.5,44.7,64.3,54.8,46.6,48.5,59.3,67.9,41.9,46.8,53.8,47.4,52.8,60.9,34.5,52.4,64.3,results/results_local_0608/Spatial-MLLM-v1.1-Instruct-820K-16f,{}
main,spatial-ssrl,spatial-ssrl,Spatial-SSRL-7B,jsonl,670,670,0,350,52.2,52.2,46.8,68.6,51.5,44.7,48.2,54.8,41.1,65.2,66.7,78.6,46.8,63.3,42.3,47.4,47.2,47.8,34.5,52.4,64.3,results/results_local_0608/spatial-ssrl,{}
main,spatialladder,spatialladder,SpatialLadder-3B,jsonl,670,670,0,320,47.8,47.8,48.0,47.1,50.8,41.2,42.9,64.3,42.5,40.9,59.3,50.0,48.4,55.7,46.2,47.4,52.8,47.8,34.5,50.0,42.9,results/results_local_0608/spatialladder,{}
main,vgllm-qa-vggt-4b,vgllm-qa-vggt-4b,VG-LLM-4B,jsonl,670,670,0,327,48.8,48.8,50.9,57.0,48.5,37.7,50.0,50.0,52.1,42.4,66.7,82.1,41.9,46.8,61.5,52.6,52.8,43.5,34.5,54.8,0.0,results/results_local_0608/vgllm-qa-vggt-4b,"{""duplicate_records_ignored"": 1}"
main,vgllm-qa-vggt-8b,vgllm-qa-vggt-8b,VG-LLM-8B,jsonl,670,670,0,314,46.9,46.9,45.0,51.2,47.3,43.9,37.5,40.5,53.4,33.3,66.7,78.6,45.2,48.1,46.2,52.6,50.0,39.1,34.5,45.2,78.6,results/results_local_0608/vgllm-qa-vggt-8b,"{""duplicate_records_ignored"": 1}"
main,vst-7b-rl,vst-7b-rl,VST-7B-RL,jsonl,670,670,0,332,49.6,49.6,52.0,47.9,48.5,50.0,64.3,50.0,43.8,39.4,66.7,50.0,41.9,51.9,53.8,44.7,50.0,52.2,41.4,59.5,57.1,results/results_local_0608/vst-7b-rl,{}
